configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30393,30303,2.2955102040816326,25.734285714285715
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30339,30389,2.5473469387755103,22.834285714285713
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30326,30382,2.8118367346938777,33.26530612244898
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30384,30330,2.9404081632653063,24.22408163265306
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30364,30357,3.2689795918367346,24.077142857142857
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30335,30309,1.9248979591836735,20.5534693877551
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30343,30331,3.494285714285714,32.734693877551024
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30370,30329,3.026938775510204,28.11795918367347
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30377,30374,2.7383673469387757,41.79632653061224
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30400,30321,2.2779591836734694,28.534285714285716
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30346,30302,3.3391836734693876,25.846530612244898
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30345,30306,2.7857142857142856,21.992244897959182
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30350,30396,2.3771428571428572,22.963673469387754
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30373,30317,3.3146938775510204,25.42857142857143
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30332,30305,2.8983673469387754,20.21061224489796
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30314,30378,2.622448979591837,23.018775510204083
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30353,30311,3.3146938775510204,23.09551020408163
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30363,30386,3.103673469387755,31.48734693877551
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30379,30325,2.0493877551020407,25.092244897959183
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30362,30365,1.8791836734693879,29.07591836734694
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30307,30355,2.5485714285714285,34.28938775510204
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30349,30380,2.5995918367346937,27.1934693877551
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30342,30367,2.3085714285714287,28.93877551020408
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30319,30394,2.4881632653061225,30.522857142857145
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30352,30391,2.979591836734694,30.671020408163265
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30351,30388,2.5,18.359591836734694
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30359,30392,1.709795918367347,26.738367346938777
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30372,30358,2.726938775510204,27.234285714285715
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30395,30310,2.0016326530612245,27.467755102040815
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30390,30398,1.7289795918367348,24.433061224489794
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30316,30366,3.0106122448979593,21.24734693877551
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30318,30376,2.9453061224489794,23.699591836734694
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30327,30322,2.938775510204082,26.736326530612246
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30361,30375,1.9281632653061225,25.275510204081634
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30360,30301,2.857142857142857,28.235102040816326
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30337,30369,3.5281632653061226,19.32081632653061
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30324,30315,3.7208163265306125,25.23469387755102
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30431,30488,12.31673469387755,36.44244897959184
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30455,30424,13.554693877551019,31.538367346938774
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30404,30472,11.781224489795918,26.48816326530612
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30415,30484,11.133061224489795,27.72612244897959
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30460,30429,10.014693877551021,26.42
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30407,30458,9.530204081632652,50.94530612244898
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30452,30437,15.366938775510205,33.51183673469388
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30419,30461,9.497551020408164,25.61673469387755
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30451,30432,14.096326530612245,50.84122448979592
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30448,30466,11.971020408163266,31.420816326530613
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30409,30465,13.026938775510205,29.82081632653061
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30427,30476,9.577142857142857,40.232244897959184
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30438,30456,10.915918367346938,36.775510204081634
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30401,30475,11.61673469387755,32.46081632653061
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30474,30447,16.099591836734692,44.493469387755106
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30416,30468,10.882040816326532,33.48612244897959
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30411,30499,10.777142857142858,48.30244897959184
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30492,30446,11.644489795918368,27.92
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30463,30435,14.163673469387755,40.25469387755102
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30467,30406,12.61591836734694,45.06285714285714
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30459,30420,18.07510204081633,37.020816326530614
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30445,30473,9.15469387755102,17.183673469387756
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30486,30440,11.209795918367346,30.031020408163265
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30433,30479,12.72816326530612,27.873061224489796
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30444,30489,8.958775510204083,30.448979591836736
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30449,30498,9.952653061224488,47.66571428571429
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30442,30470,8.561632653061224,27.668979591836734
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30490,30417,13.755102040816327,27.61673469387755
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30410,30487,12.25673469387755,23.68326530612245
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30496,30408,9.394285714285715,33.565714285714286
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30403,30477,8.653061224489795,35.23469387755102
