configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,fitness_value_cell,fitness_value_organism
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30286,A,47.91,94.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30286,B,46.885,94.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30287,A,49.895,99.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30287,B,49.895,99.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30288,A,44.915,88.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30288,B,43.885,88.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30289,A,47.89,95.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30289,B,47.885,95.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30290,A,49.91,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30290,B,48.88,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30291,A,47.905,94.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30291,B,46.905,94.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30292,A,47.905,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30292,B,47.905,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30293,A,49.895,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30293,B,48.895,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30294,A,50.88,100.76
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30294,B,49.88,100.76
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30295,A,48.88,97.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30295,B,48.895,97.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30296,A,47.88,95.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30296,B,47.845,95.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30297,A,48.895,97.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30297,B,48.88,97.775
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30298,A,49.895,99.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30298,B,49.87,99.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30299,A,46.92,93.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30299,B,46.89,93.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30300,A,44.905,88.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30300,B,43.865,88.77
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30501,A,100.0,133.835
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30501,B,33.835,133.835
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30502,A,96.995,133.875
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30502,B,36.88,133.875
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30503,A,100.0,135.855
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30503,B,35.855,135.855
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30504,A,100.0,138.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30504,B,38.845,138.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30505,A,94.98,136.815
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30505,B,41.835,136.815
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30506,A,94.99,136.88
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30506,B,41.89,136.88
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30507,A,99.0,117.76
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30507,B,18.76,117.76
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30508,A,100.0,134.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30508,B,34.865,134.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30509,A,99.0,133.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30509,B,34.86,133.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30510,A,100.0,139.84
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30510,B,39.84,139.84
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30511,A,94.98,135.845
