configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10220,10165,0.17346938775510207,5.268979591836735
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10153,10227,0.14244897959183672,5.206530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10198,10214,0.22081632653061226,5.135102040816326
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10163,10248,0.16163265306122448,5.2995918367346935
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10228,10196,0.09836734693877551,4.6938775510204085
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10160,10210,0.3057142857142857,4.773877551020409
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10170,10238,0.22408163265306122,4.86734693877551
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10190,10209,0.16163265306122448,5.543265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10225,10173,0.16163265306122448,7.657551020408164
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10200,10247,0.14244897959183672,5.7240816326530615
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10188,10213,0.19755102040816327,7.071428571428571
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10180,10222,0.04081632653061224,5.805714285714286
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10232,10182,0.22408163265306122,6.488163265306122
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10151,10215,0.07510204081632653,4.86734693877551
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10166,10226,0.14244897959183672,3.769795918367347
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10241,10159,0.16163265306122448,4.439183673469388
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10171,10249,0.14244897959183672,4.392244897959183
