configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30291,A,117,5000,2112,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30291,B,165,5000,3972,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30292,A,112,5000,2067,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30292,B,177,5000,4006,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30293,A,111,5000,2070,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30293,B,150,5000,3957,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30294,A,118,5000,2074,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30294,B,154,5000,4039,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30295,A,128,5000,2128,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30295,B,185,5000,4066,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30296,A,111,5000,2135,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30296,B,179,5000,4053,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30297,A,115,5000,2095,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30297,B,190,5000,4013,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30298,A,125,5000,2089,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30298,B,165,5000,4008,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30299,A,101,5000,1988,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30299,B,167,5000,3990,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30300,A,137,5000,2139,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30300,B,182,5000,4017,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30501,A,140,5000,348,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30501,B,661,5000,4351,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30502,A,178,5000,305,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30502,B,655,5000,4310,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30503,A,139,5000,305,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30503,B,652,5000,4317,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30504,A,134,5000,351,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30504,B,664,5000,4289,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30505,A,164,5000,339,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30505,B,673,5000,4345,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30506,A,150,5000,349,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30506,B,672,5000,4333,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30507,A,144,5000,290,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30507,B,674,5000,4358,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30508,A,144,5000,319,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30508,B,609,5000,4330,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30509,A,151,5000,322,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30509,B,635,5000,4327,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30510,A,153,5000,299,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30510,B,657,5000,4354,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30511,A,147,5000,330,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30511,B,625,5000,4340,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30512,A,140,5000,291,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30512,B,659,5000,4344,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30513,A,111,5000,219,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30513,B,648,5000,4363,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30514,A,147,5000,410,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30514,B,690,5000,4302,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30515,A,159,5000,328,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30515,B,663,5000,4380,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30516,A,141,5000,369,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30516,B,664,5000,4332,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30517,A,148,5000,296,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30517,B,673,5000,4360,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30518,A,152,5000,340,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30518,B,638,5000,4315,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30519,A,137,5000,287,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30519,B,689,5000,4294,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30520,A,156,5000,358,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30520,B,690,5000,4314,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30521,A,136,5000,303,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30521,B,666,5000,4358,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30522,A,142,5000,266,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30522,B,652,5000,4303,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30523,A,142,5000,287,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30523,B,677,5000,4313,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30524,A,161,5000,403,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30524,B,687,5000,4324,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30525,A,156,5000,349,5000
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30525,B,664,5000,4281,5000
