configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,no_mutation,4994,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,beneficial,6,7,1.0,1.0,0.0012,0.0014
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,no_mutation,4994,4993,0,1.0,0,0.9986
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,beneficial,6,6,1.0,1.0,0.0012,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,no_mutation,4994,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,beneficial,8,8,1.0,1.0,0.0016,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,no_mutation,4992,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,beneficial,8,8,1.0,1.0,0.0016,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,no_mutation,4992,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,beneficial,7,7,1.0,1.0,0.0014,0.0014
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,no_mutation,4993,4993,0,1.0,0,0.9986
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,beneficial,7,9,1.0,1.0,0.0014,0.0018
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,no_mutation,4993,4991,0,1.0,0,0.9982
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,beneficial,8,8,1.0,1.0,0.0016,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,no_mutation,4992,4992,0,1.0,0,0.9984
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,beneficial,8,10,1.0,1.0,0.0016,0.002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,no_mutation,4992,4990,0,1.0,0,0.998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,beneficial,3,3,1.0,1.0,0.0006,0.0006
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,no_mutation,4997,4997,0,1.0,0,0.9994
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,beneficial,3,4,1.0,1.0,0.0006,0.0008
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,no_mutation,4997,4996,0,1.0,0,0.9992
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,beneficial,5,6,1.0,1.0,0.001,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,no_mutation,4995,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,beneficial,5,6,1.0,1.0,0.001,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,no_mutation,4995,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,neutral,0,0,0.0,0.0,0.0,0.0
