configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10058,10117,0.22081632653061223,0.343265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10132,10105,0.23020408163265307,0.23020408163265307
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10134,10079,0.4085714285714286,0.8163265306122449
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10110,10066,0.14244897959183672,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10140,10150,0.24326530612244898,0.2616326530612245
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10051,10097,0.15673469387755104,0.27918367346938777
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10104,10111,0.25510204081632654,0.3775510204081633
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10098,10056,0.14244897959183672,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10119,10081,0.24326530612244898,0.24326530612244898
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10078,10068,0.13918367346938776,0.15673469387755104
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10084,10060,0.16163265306122448,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10087,10064,0.16163265306122448,0.32
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10055,10082,0.16163265306122448,0.16163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10147,10124,0.14244897959183672,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10091,10093,0.20408163265306123,0.3873469387755102
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10126,10141,0.2648979591836735,0.2648979591836735
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10120,10108,0.11591836734693878,0.11591836734693878
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10127,10095,0.14244897959183672,0.20244897959183675
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10086,10099,0.16163265306122448,0.28408163265306124
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10139,10122,0.11591836734693878,0.11591836734693878
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10089,10112,0.11591836734693878,0.11591836734693878
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10118,10101,0.08,0.13918367346938776
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10075,10073,0.16326530612244897,0.28408163265306124
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10128,10131,0.08163265306122448,0.08163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10149,10113,0.22408163265306122,0.22408163265306122
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10125,10096,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10107,10102,0.10163265306122449,0.12081632653061225
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10121,10057,0.18,0.42489795918367346
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10168,10245,0.3526530612244898,3.8322448979591837
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10161,10208,0.12244897959183673,5.908571428571428
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10240,10186,0.10163265306122449,3.9791836734693877
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10154,10229,0.12081632653061225,5.660816326530612
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10199,10236,0.20244897959183675,4.571428571428571
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10164,10246,0.08,8.401632653061224
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10174,10239,0.2453061224489796,5.290204081632653
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10201,10194,0.1326530612244898,5.560816326530612
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10197,10230,0.12081632653061225,7.469387755102041
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10234,10172,0.16326530612244897,6.5
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10177,10224,0.2648979591836735,5.6020408163265305
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10184,10207,0.16163265306122448,7.128163265306122
