configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10050,B,3,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10251,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10251,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10252,A,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10252,B,100,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10253,A,100,5000,122,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10253,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10254,A,100,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10254,B,100,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10255,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10255,B,100,5000,115,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10256,A,100,5000,122,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10256,B,100,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10257,A,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10257,B,100,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10258,A,100,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10258,B,100,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10259,A,100,5000,116,5000
